"1,6881632,0,1,1,1,1,"
"2,6839986,0,1,1,1,1,"
"3,6860743,0,1,1,1,1,"
"4,6952117,0,1,1,1,1,"
"5,6844458,0,1,1,1,1,"
"6,6876101,0,1,1,1,1,"
"7,6844347,0,1,1,1,1,"
"8,6930635,0,1,1,1,1,"
"9,6860018,0,1,1,1,1,"
"10,6820307,0,1,1,1,1,"
"11,6833067,0,1,1,1,1,"
"12,6920656,0,1,1,1,1,"
"13,6858858,0,1,1,1,1,"
"14,6980094,0,1,1,1,1,"
"15,6870513,0,1,1,1,1,"
"16,6946049,0,1,1,1,1,"
"17,6898768,0,1,1,1,1,"
"18,6811403,0,1,1,1,1,"
"19,6911616,0,1,1,1,1,"
"20,6823968,0,1,1,1,1,"
"21,6895780,0,1,1,1,1,"
"22,6932616,0,1,1,1,1,"
"23,6851835,0,1,1,1,1,"
"24,6932019,0,1,1,1,1,"
"25,6895566,0,1,1,1,1,"
"26,6969898,0,1,1,1,1,"
"27,6811087,0,1,1,1,1,"
"28,6972203,0,1,1,1,1,"
"29,6938448,0,1,1,1,1,"
"30,6864943,0,1,1,1,1,"
"31,6831993,0,1,1,1,1,"
"32,6947519,0,1,1,1,1,"
"33,6810972,0,1,1,1,1,"
"34,6810644,0,1,1,1,1,"
"35,6821060,0,1,1,1,1,"
"36,6877492,0,1,1,1,1,"
"37,6981512,0,1,1,1,1,"
"38,6880443,0,1,1,1,1,"
"39,6848636,0,1,1,1,1,"
"40,6950835,0,1,1,1,1,"
"41,6969575,0,1,1,1,1,"
"42,6864998,0,1,1,1,1,"
"43,6876953,0,1,1,1,1,"
"44,6908663,0,1,1,1,1,"
"45,6931189,0,1,1,1,1,"
"46,6851527,0,1,1,1,1,"
"47,6863459,0,1,1,1,1,"
"48,6967931,0,1,1,1,1,"
"49,6838420,0,1,1,1,1,"
